,stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal
0,KCODENVE658,America/Denver,2023-06-01T06:04:53Z,2023-06-01 00:04:53,1685599493,39.69437,-105.070053,,,158,80,79,79,1,55,55,55,0,0,0,0,0,0,49,49,49,55,55,55,55,55,55,29.83,29.83,0.0,0.0,0.0
1,KCODENVE658,America/Denver,2023-06-01T06:09:49Z,2023-06-01 00:09:49,1685599789,39.69437,-105.070053,,,203,81,80,80,1,55,55,55,0,0,0,0,0,0,50,49,49,55,55,55,55,55,55,29.83,29.83,0.0,0.0,0.0
2,KCODENVE658,America/Denver,2023-06-01T06:14:45Z,2023-06-01 00:14:45,1685600085,39.69437,-105.070053,,,158,82,81,81,1,55,55,55,0,0,0,0,0,0,50,50,50,55,55,55,55,55,55,29.83,29.83,0.0,0.0,0.0
3,KCODENVE658,America/Denver,2023-06-01T06:19:59Z,2023-06-01 00:19:59,1685600399,39.69437,-105.070053,,,158,83,82,82,1,55,55,55,0,0,0,0,0,0,50,50,50,55,55,55,55,55,55,29.83,29.83,0.0,0.0,0.0
4,KCODENVE658,America/Denver,2023-06-01T06:24:57Z,2023-06-01 00:24:57,1685600697,39.69437,-105.070053,,,158,83,83,83,1,55,55,55,0,0,0,0,0,0,50,50,50,55,55,55,55,55,55,29.83,29.83,0.0,0.0,0.0
5,KCODENVE658,America/Denver,2023-06-01T06:29:51Z,2023-06-01 00:29:51,1685600991,39.69437,-105.070053,,,158,83,83,83,1,55,55,55,0,0,0,0,0,0,50,50,50,55,55,55,55,55,55,29.83,29.83,0.0,0.0,0.0
6,KCODENVE658,America/Denver,2023-06-01T06:34:49Z,2023-06-01 00:34:49,1685601289,39.69437,-105.070053,,,225,84,83,83,1,55,55,55,0,0,0,0,0,0,50,50,50,55,55,55,55,55,55,29.83,29.82,-0.13,0.0,0.0
7,KCODENVE658,America/Denver,2023-06-01T06:39:45Z,2023-06-01 00:39:45,1685601585,39.69437,-105.070053,,,180,84,84,84,1,55,55,55,0,0,0,0,0,0,50,50,50,55,55,55,55,55,55,29.82,29.82,0.0,0.0,0.0
8,KCODENVE658,America/Denver,2023-06-01T06:44:59Z,2023-06-01 00:44:59,1685601899,39.69437,-105.070053,,,203,84,84,84,1,55,55,55,0,0,0,0,0,0,50,50,50,55,55,55,55,55,55,29.82,29.82,0.0,0.0,0.0
9,KCODENVE658,America/Denver,2023-06-01T06:49:53Z,2023-06-01 00:49:53,1685602193,39.69437,-105.070053,,,203,84,82,83,1,55,55,55,0,0,0,0,0,0,50,50,50,55,55,55,55,55,55,29.82,29.82,0.0,0.0,0.0
10,KCODENVE658,America/Denver,2023-06-01T06:54:51Z,2023-06-01 00:54:51,1685602491,39.69437,-105.070053,,,180,82,82,82,1,55,55,55,0,0,0,0,0,0,50,50,50,55,55,55,55,55,55,29.82,29.81,-0.13,0.0,0.0
11,KCODENVE658,America/Denver,2023-06-01T06:59:48Z,2023-06-01 00:59:48,1685602788,39.69437,-105.070053,,,180,82,82,82,1,55,55,55,0,0,0,0,0,0,50,50,50,55,55,55,55,55,55,29.81,29.81,0.0,0.0,0.0
